Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
SELENOI,-0.5584153461095971,0.06707728320743836,,False,1.1734245356889668
LOC121919542,0.0,1.0,,False,-0.0
ADGRF3,-2.2094533656289497,0.17064667336716113,,False,0.7679021735580186
LOC121919294,0.0,,,False,
LOC121919735,0.5849625007211562,0.203110663720055,,False,0.6922672746591972
LOC121919295,0.019575538336760623,0.9475853440171629,,False,0.023381664983564976
HADHB,0.4157821386983205,0.1364457303679686,,False,0.8650400496360233
HADHA,0.23516263795140446,0.30185615265300314,,False,0.520199967612343
GAREM2,0.5145731728297587,0.36124162163681117,,False,0.44220221681420907
RAB10,-0.22658838598779596,0.2501734544165301,,False,0.6017587746267744
KIF3C,-0.07492848750656655,0.7965509057421025,,False,0.09878646421132575
OST4,1.142347051648592,0.01056058329618817,,False,1.9763120936090446
LOC121931781,-0.7944306191153352,0.12595818580106014,,False,0.899773603213826
LOC121919741,0.20789285164133275,0.6559993439426677,,False,0.18309659495699476
TMEM214,0.9136639959108468,0.00926057182327064,,False,2.033362195604929
MAPRE3,0.20833706180655298,0.311082173275743,,False,0.5071248756473301
DPYSL5,0.0,1.0,,False,-0.0
DNMT3A,0.39449672083800813,0.1808954847305659,,False,0.742572273278786
LOC121919786,-0.13423979042874645,0.6939868824940509,,False,0.15864873835536084
ASXL2,-0.3623115087162345,0.157745218686798,,False,0.8020437955032211
CCDC25,0.07823627175045722,0.738453104720601,,False,0.13167707923860847
SCARA3,-1.3508552803508644,0.5378870360519484,,False,0.2693089227918674
CLU,-1.3919747740530575,0.052569585479298124,,False,1.2792654474587142
LOC121919087,-0.6692512755698612,0.23274201488983254,,False,0.6331252102339326
SLC35F6,-0.1306788612593941,0.6670301649823668,,False,0.17585452561993722
KCNK3,1.1303966372556742,0.055814995703054614,,False,1.2532491043571614
CIB4,0.0,,,False,
FAM166C,1.0285691521967713,0.25680479760265995,,False,0.5903968670794347
LOC121919802,0.0,,,False,
LOC121929589,-0.6780719051126379,0.36124162163681117,,False,0.44220221681420907
DRC1,-0.9712236235798208,0.016689333123583873,,False,1.7775610166181726
LOC121919807,0.0,,,False,
LOC121921194,0.0,,,False,
SCARA5,-1.1375035237499351,0.1497155271055893,,False,0.8247331563263722
LOC121921256,-1.415037499278844,0.04219399670552438,,False,1.3747493353684013
EFR3B,0.04867384673568953,0.9157811991603215,,False,0.03820827671216622
POMC,0.0,,,False,
STMN4,1.0,0.203110663720055,,False,0.6922672746591972
TRIM35,-0.26467476421504976,0.1543965350465689,,False,0.8113624502894048
PTK2B,-0.718145706238583,0.15071381463656666,,False,0.8218469378283327
CHRNA2,0.0,,,False,
LOC121921232,-1.0809199953835673,0.12093580627173502,,False,0.9174450956326968
EPHX2,0.8180774023104611,0.12104753760800607,,False,0.9170440407049602
LOC121921175,-5.787902559391432,0.3144635251102001,,False,0.5024297214811256
FBXO16,-0.807354922057604,0.37420565618817414,,False,0.42688965234443305
FZD3,-1.8365012677171202,0.034610859559827234,,False,1.4607876148793968
PNOC,-2.5443205162238103,0.19946372256915654,,False,0.7001360800307321
ELP3,-0.47763923710997425,0.08519912167520685,,False,1.0695648823879618
LOC121918939,0.5964581395589859,0.14130704927864013,,False,0.8498361722883764
ZNF395,-0.42990284884276697,0.28788815577378213,,False,0.540776202394935
NCOA1,0.3576315765618734,0.23245382828380348,,False,0.6336632970229882
PTRHD1,1.0758620145153088,0.014193271353721474,,False,1.847917494103657
CENPO,-0.6121839694561801,0.15152506152264486,,False,0.8195155309844117
ADCY3,-0.9030533874995657,0.2528423435025304,,False,0.5971501930100692
DNAJC27,-0.42107641576018384,0.14747628436018534,,False,0.8312778129034333
LOC121919430,0.0,1.0,,False,-0.0
LOC121918922,-0.41503749927884376,0.36321746764912255,,False,0.43983327380401
EXTL3,0.7610455889433752,0.00659724233578437,,False,2.1806375627346273
INTS9,0.33908864604554534,0.23116466890289616,,False,0.6360785425397635
HMBOX1,-0.09624347749559803,0.6077976295484371,,False,0.21624099803041108
KIF13B,0.4056479311657455,0.18058794064942923,,False,0.743311254489144
LOC121919731,0.0,,,False,
MSRA,-0.0991247448274617,0.6509617275965321,,False,0.18644454443064779
PRSS55,-0.32192809488736224,0.5497376663495164,,False,0.2598445054804663
LOC121919849,0.0,,,False,
RP1L1,0.22239242133644802,0.36321746764912255,,False,0.43983327380401
C1H8orf74,-1.2223924213364477,0.23538747727819,,False,0.6282166455437506
SOX7,0.1387062708315927,0.48851514314316824,,False,0.31112196934217007
PINX1,1.8944279714436085,0.007428620499642923,,False,2.129091827560683
LOC121930226,-0.5849625007211563,0.5500549180137195,,False,0.2595939479609509
XKR6,-1.0,0.203110663720055,,False,0.6922672746591972
LOC121930307,0.22239242133644802,0.36321746764912255,,False,0.43983327380401
LOC121920100,-1.0000000000000002,0.355244667526667,,False,0.44947243241843693
LOC121918513,-3.070389327891398,0.11394597834382617,,False,0.9433009983809848
LOC121920002,-1.6722395381453445,0.034152042624049146,,False,1.4665833161750106
MTMR9,0.26129726529773656,0.25852860068312167,,False,0.5874914044780969
ESCO2,-0.53051471669878,0.39220331851086687,,False,0.4064887360000542
LOC121919866,0.22239242133644802,0.36321746764912255,,False,0.43983327380401
LOC121919693,-1.2223924213364479,0.1952281685273341,,False,0.7094575198999087
LOC121921334,-0.8744691179161412,0.18519882777065916,,False,0.7323617665436386
FAM167A,0.10691520391651155,0.8619283988935043,,False,0.06452880987946043
LOC121920108,0.0,,,False,
BLK,-1.6994572904280245,0.10404605979890967,,False,0.9827743617761624
GATA4,0.6331008798561601,0.005504855932429045,,False,2.2592540424633123
NEIL2,0.26848883592590145,0.6466555179612867,,False,0.18932701220639178
LOC121936038,0.08885201126121878,0.6774959377914377,,False,0.16909330443887316
LOC121936053,-0.9999999999999997,0.03913389788630946,,False,1.4074468925489423
LOC121937029,-0.3479233034203064,0.3374397856311807,,False,0.47180371350319267
LOC121916997,-0.485426827170242,0.021963144310965448,,False,1.658305484843605
CTSB,-1.28423206591002,0.037092643776378505,,False,1.4307122112501591
LOC121925410,0.0,,,False,
LOC121932458,-0.22239242133644802,0.36321746764912255,,False,0.43983327380401
LOC121915747,-0.2700891633677447,0.6791081931528091,,False,0.16806102992260818
LOC121915742,0.0,,,False,
LOC121919374,0.0,,,False,
LOC121919886,0.0,,,False,
LOC121919296,-0.9328858041414632,0.28093562252945004,,False,0.5513931889326592
LOC121917408,0.0,,,False,
LOC121918362,0.0,,,False,
